148.072, 129.578, 8.333, 26.200 False
147.239, 129.578, 8.333, 26.300 False
146.406, 129.577, 8.333, 26.400 False
145.572, 129.577, 8.333, 26.500 False
144.739, 129.577, 8.333, 26.600 False
143.906, 129.576, 8.333, 26.700 False
143.072, 129.575, 8.333, 26.800 False
142.239, 129.574, 8.333, 26.900 False
141.406, 129.573, 8.333, 27.000 False
140.573, 129.572, 8.333, 27.100 False
139.742, 129.571, 8.264, 27.200 False
138.931, 129.569, 7.996, 27.300 False
138.160, 129.568, 7.549, 27.400 False
137.438, 129.566, 7.028, 27.500 False
136.767, 129.565, 6.532, 27.600 False
136.136, 129.563, 6.178, 27.700 False
135.531, 129.562, 5.954, 27.800 False
134.943, 129.560, 5.798, 27.900 False
134.373, 129.558, 5.614, 28.000 False
133.818, 129.557, 5.493, 28.100 False
133.271, 129.555, 5.433, 28.200 False
132.726, 129.554, 5.449, 28.300 False
132.173, 129.552, 5.555, 28.400 False
131.617, 129.550, 5.518, 28.500 False
131.078, 129.548, 5.303, 28.600 False
130.568, 129.547, 4.968, 28.700 False
130.099, 129.545, 4.520, 28.800 False
129.676, 129.543, 4.059, 28.900 False
129.297, 129.542, 3.625, 29.000 False
128.958, 129.540, 3.237, 29.100 False
128.655, 129.538, 2.891, 29.200 False
128.384, 129.537, 2.582, 29.300 False
128.142, 129.535, 2.307, 29.400 False
127.925, 129.534, 2.061, 29.500 False
127.731, 129.533, 1.842, 29.600 False
127.557, 129.532, 1.647, 29.700 False
127.402, 129.531, 1.472, 29.800 False
127.264, 129.530, 1.316, 29.900 False
127.140, 129.529, 1.177, 30.000 False
127.029, 129.529, 1.052, 30.100 False
126.930, 129.528, 0.941, 30.200 False
126.841, 129.528, 0.841, 30.300 False
126.762, 129.527, 0.752, 30.400 False
126.691, 129.527, 0.673, 30.500 False
126.628, 129.526, 0.602, 30.600 False
126.577, 129.526, 0.465, 30.700 False
126.538, 129.526, 0.355, 30.800 False
126.502, 129.526, 0.373, 30.900 False
126.451, 129.525, 0.620, 31.000 False
126.372, 129.525, 0.893, 31.100 False
126.269, 129.524, 1.088, 31.200 False
126.138, 129.524, 1.500, 31.300 False
125.953, 129.523, 2.038, 31.400 False
125.718, 129.521, 2.543, 31.500 False
125.433, 129.520, 3.040, 31.600 False
125.100, 129.518, 3.533, 31.700 False
124.717, 129.516, 4.019, 31.800 False
124.290, 129.514, 4.445, 31.900 False
123.827, 129.512, 4.753, 32.000 False
123.340, 129.509, 4.970, 32.100 False
122.835, 129.507, 5.140, 32.200 False
122.316, 129.504, 5.238, 32.300 False
121.792, 129.502, 5.264, 32.400 False
121.271, 129.500, 5.204, 32.500 False
120.756, 129.498, 5.150, 32.600 False
120.242, 129.496, 5.141, 32.700 False
119.728, 129.494, 5.143, 32.800 False
119.214, 129.492, 5.137, 32.900 False
118.703, 129.490, 5.098, 33.000 False
118.197, 129.488, 5.041, 33.100 False
117.696, 129.487, 5.021, 33.200 False
117.193, 129.485, 4.999, 33.300 False
116.699, 129.484, 4.908, 33.400 False
116.215, 129.483, 4.792, 33.500 False
115.743, 129.482, 4.691, 33.600 False
115.278, 129.481, 4.618, 33.700 False
114.821, 129.480, 4.545, 33.800 False
114.371, 129.480, 4.460, 33.900 False
113.931, 129.482, 4.365, 34.000 False
113.499, 129.483, 4.279, 34.100 False
113.082, 129.484, 4.079, 34.200 False
112.694, 129.484, 3.765, 34.300 False
112.339, 129.485, 3.424, 34.400 False
112.017, 129.485, 3.088, 34.500 False
111.728, 129.485, 2.774, 34.600 False
111.467, 129.485, 2.485, 34.700 False
111.234, 129.486, 2.223, 34.800 False
111.026, 129.486, 1.988, 34.900 False
110.839, 129.486, 1.778, 35.000 False
110.672, 129.486, 1.589, 35.100 False
110.522, 129.486, 1.421, 35.200 False
110.388, 129.486, 1.270, 35.300 False
110.269, 129.486, 1.135, 35.400 False
110.162, 129.487, 1.015, 35.500 False
110.066, 129.487, 0.908, 35.600 False
109.981, 129.487, 0.812, 35.700 False
109.904, 129.487, 0.726, 35.800 False
109.836, 129.487, 0.649, 35.900 False
109.775, 129.487, 0.580, 36.000 False
109.720, 129.487, 0.519, 36.100 False
109.671, 129.487, 0.464, 36.200 False
109.627, 129.487, 0.415, 36.300 False
109.588, 129.487, 0.371, 36.400 False
109.553, 129.487, 0.332, 36.500 False
109.522, 129.487, 0.297, 36.600 False
109.494, 129.487, 0.266, 36.700 False
109.469, 129.487, 0.238, 36.800 False
109.447, 129.487, 0.212, 36.900 False
109.427, 129.487, 0.190, 37.000 False
109.409, 129.487, 0.170, 37.100 False
109.393, 129.487, 0.152, 37.200 False
109.378, 129.487, 0.136, 37.300 False
109.366, 129.487, 0.122, 37.400 False
109.354, 129.487, 0.109, 37.500 False
109.344, 129.487, 0.097, 37.600 False
109.335, 129.487, 0.087, 37.700 False
109.327, 129.487, 0.078, 37.800 False
109.319, 129.488, 0.068, 37.900 False
109.315, 129.488, 0.003, 38.000 False
109.312, 129.488, 0.022, 38.100 False
109.309, 129.488, 0.040, 38.200 False
109.304, 129.488, 0.045, 38.300 False
109.300, 129.488, 0.045, 38.400 False
109.295, 129.488, 0.042, 38.500 False
109.291, 129.488, 0.038, 38.600 False
109.288, 129.488, 0.035, 38.700 False
